Unit	Qtype	Qpart	Qnum	FillPatt	Pattern	ModF1	ModF2	ModF3	Rules	ModPrompt	Comment	Orig_Pattern	Orig_ModF1	Orig_ModF2
1	SUB		1	1	{F1} {F2} dort.	D- Flughafen	ist		der.nom					
1	SUB		2	1	Wo {F2} {F1}?	d- Bahnhof	ist		der.nom					
1	SUB		3	1	Wie viel {F2} {F1}?	d- Kaffee	kostet		der.nom			Wieviel {F2} {F1}?		
1	SUB		4	1	Wie {F2} {F1}?	d- Bier	ist		der.nom					
1	SUB		5	1	{F1} {F2} gut.	D- Hotel	ist		der.nom					
1	SUB		6	1	{F1} {F2} da drüben.	D- Hotel	ist		der.nom					
1	SUB		7	1	Das {F2} {F1}.	d- Flughafen	ist		der.nom					
1	SUB		8	1	Hier {F3} {F1}. Hier {F3} {F2}.	Herr Becker	er/es/sie	ist/sind	pro.nom					
2	SUB		1	4	{F1} {F2} Sie sehr gut.	Ich	verstehe		vcon.verstehen					
2	SUB		2	2	Sie trifft {F1} in Frankfurt.				pro.acc					
2	SUB		3	2	Können Sie {F1} seine Adresse geben?				pro.dat					
2	SUB		4	4	{F1} {F2} aus Amerika.	Er	kommt		vcon.kommen					
2	SUB		5	4	{F1} {F2} nur diese zwei Koffer.	Ich	habe		vcon.haben					
2	SUB		6	4	{F2} {F1} sie nicht?	Sie	Kennen		vcon.kennen					
2	SUB		7	2	Ich kann {F1} nicht gut verstehen.				pro.acc					
2	SUB		8	2	Wie geht es {F1}?	Ihnen			pro.dat					
2	SUB		9	4	Wie lange {F2} {F1} hier in München?	Sie	bleiben		vcon.bleiben					
2	SUB		10	4	{F2} {F1} in der Nähe vom Konsulat?	Frau Becker	Wohnt		vcon.wohnen					
2	SUB		11	4	{F1} {F2} ihn im Konsulat.	Herr und Frau Allen	treffen		vcon.treffen					
2	SUB		12	2	Kennen Sie {F1}?				pro.acc					
2	SUB		13	4	Was {F2} {F1} essen?	Sie	möchten		vcon.moechten					
2	SUB		14	2	Ich fahre oft mit {F1} nach Hause.				pro.dat					
2	SUB		15	4	Wo {F2} {F1} heute?	Sie	essen		vcon.essen					
2	SUB		16	2	Es gefällt {F1} hier sehr gut.				pro.dat					
2	SUB		17	4	Dann {F2} {F1} jetzt noch zum Zoll.	Sie	müssen		vcon.muessen					
2	SUB		18	4	{F1} {F2} aber auch gut deutsch sprechen.	Sie	kann		vcon.koennen					
2	SUB		19	4	{F2} {F1} mitkommen?	ich	Darf		vcon.duerfen					
2	SUB		20	4	{F1} {F2} auch im Konsulat.	Er	arbeitet		vcon.arbeiten					
2	SUB		21	4	Wo {F2} {F1} hin?	Sie	fahren		vcon.fahren					
2	SUB		22	4	{F1} {F2} gerade essen gehen.	Wir	wollen		vcon.wollen					
2	SUB		23	1	Wo {F2} {F1}?	d- Flughafen	ist		der.nom					
3	SUB		1	1	Hier ist {F1}.	d- Portier			der.nom					
3	SUB		2	1	Ich suche {F1}.	d- Königsplatz			der.acc					
3	SUB		3	1	Ich spreche von {F1}.	d- Amerikaner			der.dat					
3	SUB		4	1	Wissen Sie, wo {F1} ist?	d- Rathaus			der.nom					
3	SUB		5	1	Ich kann {F1} nicht finden.	d- Dom			der.acc					
3	SUB		6	4	{F1} {F2} Geld abheben.	Sie	muss		vcon.muessen					
3	SUB		7	4	{F1} {F2} Durst.	Ich	habe		vcon.haben					
3	SUB		8	2	Ich kann es {F1} zeigen.				pro.dat					
3	SUB		9	4	Das {F2} {F1} leider nicht.	ich	weiß		vcon.wissen					weiss
3	SUB		10	4	{F1} {F2} ein Glas Bier.	Er	trinkt		vcon.trinken					
3	SUB		11	2	Vielleicht kann er {F1} einen Stadtplan geben.				pro.dat					
3	SUB		12	4	Vorher {F2} {F1} noch zur Bank gehen.	ich	möchte		vcon.moechten					
3	SUB		13	1	{F1} ist da drüben. {F2} ist da drüben.	D- Haltestelle	Er/Es/Sie		pro.nom					
3	SUB		14	1	Ich fahre zu {F1} in der Bahnhofstraße.	d- Bank			der.dat			Ich fahre zu {F1} in der Bahnhofstrasse.		
3	SUB		15	1	Haben Sie {F1} da?	d- Stadtplan			der.acc					
3	SUB		16	1	In {F1} gehen wir?	welch- Kino			der.acc					
3	SUB		17	1	{F1} soll sehr berühmt sein.	D- Café			der.nom					
3	SUB		18	1	Wir können {F1} fahren.	zu d- Ratskeller			der.acc					
3	SUB		19	1	Wir suchen {F1}.	d- Park			der.acc					
3	SUB		20	1	Wo ist {F1}? {F2} ist hier ganz in der Nähe.	d- Bahnhof	D-		der.nom					
3	SUB		21	1	Sie können mit {F1} fahren.	d- Omnibus			der.dat					
3	SUB		22	1	Er ist {F1}.	in d- Ratskeller			der.dat					
3	SUB		23	1	In {F1} wollen wir gehen?	welch- Restaurant			der.acc					
3	SUB		24	1	Dort {F3} {F1}. {F2} können wir fragen.	d- Polizist	D-	ist/sind	der.acc					
3	SUB		25	1	Zu {F1} gehen Sie?	welch- Bank			der.acc					
3	SUB		26	1	Ich gehe durch {F1}.	d- Park			der.acc					
3	SUB		27	1	Vorher möchte ich noch {F1} gehen.	zu d- Bank			der.acc					
3	SUB		28	1	Wir können {F1} fragen.	d- Portier			der.acc					
3	SUB		29	1	Die Bank ist neben {F1}.	d- Hotel			der.dat					
3	SUB		30	1	Können wir {F1} behalten?	d- Stadtplan			der.acc					
3	SUB		31	1	Wollen wir einen Spaziergang {F1} machen?	zu d- Schloss			der.dat					
3	SUB		32	1	Wie gefällt Ihnen {F1}?	dies- Stadt			der.nom					
3	SUB		33	1	Kennen Sie {F1}?	dies- Straße			der.acc				dies- Strasse	
3	SUB		34	1	{F1} ist sehr schön.	Dies- Park			der.nom					
3	SUB		35	1	Fährt dieser Autobus {F1}?	zu d- Königsplatz			der.dat					
3	SUB		36	1	Sie ist doch {F1}, sehen Sie sie nicht?	im Café			der.dat					
3	SUB		37	2	Der Beamte {F1} den Diplomaten.				vcon.mult					
3	SUB		38	1	Wir wohnen nicht weit von {F1}.	dies- Park			der.dat					
4	SUB	1	1	1	Das ist {F1}.	mein- Koffer			ein.nom					
4	SUB	1	2	1	Das sind {F1}.	mein- Zigaretten			ein.nom					
4	SUB	1	3	1	Ich kenne {F1} in dieser Stadt.	kein- Amerikaner			ein.acc					
4	SUB	1	4	1	Er wohnt in der Nähe von {F1}?	ein- Flughafen			ein.dat					
4	SUB	1	5	1	Ist das {F1}?	uns- Koffer			ein.nom					
4	SUB	1	6	1	Ich kann {F1} nicht finden.	Ihr- Koffer			ein.acc					
4	SUB	2	7	1	Hier ist {F1}. Dort ist auch {F2}.	ein- Koffer	ein-		ein.nom.pop					
4	SUB	2	8	1	Haben Sie schon {F1}, oder haben Sie noch {F2}?	ein- Hotel	kein-		ein.acc.pop					
4	SUB	2	9	1	Ist das {F1}? Nein, es ist {F2}.	sein- Koffer	unser-		ein.nom.pop					
4	SUB	2	10	1	Ist das {F1} oder {F2}?	Ihr- Hotel	unser-		ein.nom.pop					
4	SUB	2	11	1	Hat Herr Müller {F1}? Nein, er hat {F2}.	ein- Koffer	kein-		ein.acc.pop					
4	SUB	2	12	1	Das ist {F1}.  Wo ist {F2}?	sein- Gepäck	Ihr-		ein.nom.pop					
4	SUB	2	13	1	Von {F1} spricht er? Von {F2}.	welch- Pass	sein-		ein.dat.pop					
4	SUB	3	14	1	Wo ist {F1}?	mein- Geld			ein.nom					
4	SUB	3	15	1	Hier ist {F1}.	unser- Taxi			ein.nom				unser- Taxe	
4	SUB	3	16	1	Sie hat {F1}.	kein- Zigaretten			ein.acc					
4	SUB	3	17	1	Er kennt {F1}.	mein- Frau			ein.acc					
4	SUB	3	18	1	Ich frage {F1}.	ein- Polizisten			ein.acc					
4	SUB	3	19	1	Er arbeitet in {F1}.				ein.dat					
4	SUB	3	20	1	Er wohnt in {F1}.				ein.dat					
4	SUB	3	21	1	Sie spricht mit {F1}.				ein.dat					
4	SUB	3	22	1	Er will {F1} haben.				ein.acc					
4	SUB	3	23	1	Wir wollen zu {F1} gehen.				ein.dat					
4	SUB	3	24	1	Er trifft {F1}.				ein.acc					
4	SUB	3	25	1	{F1} kann sich nicht an das Klima gewöhnen.				ein.nom					
4	SUB	3	26	1	Ich habe {F1}.				ein.acc					
4	SUB	3	27	1	Gibt es hier in der Nähe {F1}?				ein.acc					
4	SUB	3	28	2	Was kann ich für {F1} tun?				ein.acc					
4	SUB	3	29	2	Er bietet {F1} eine Zigarette an.				einder.dat					
4	SUB	3	30	2	Ich {F1} gern.				vcon.mult					
4	SUB	3	31	2	Sind sie {F1}, nicht wahr?				noart.jobs					
4	SUB	3	32	2	Es passt {F1} am Sonntag sehr gut.				pro.dat					
4	SUB	3	33	2	Das Restaurant in der Ludwigstraße gefällt {F1} nicht.				pro.dat			Das Restaurant in der Ludwigstrasse gefällt {F1} nicht.		
4	SUB	3	34	1	Er kann sich nicht an {F1} gewöhnen.				ein.acc					
5	SUB	1	1	1	Wo ist {F1}?				der.nom					
5	SUB	1	2	1	Ich hole {F1}.				der.acc					
5	SUB	1	3	1	Er spricht von {F1}.				der.dat					
5	SUB	1	4	2	Ich habe nur {F1}, aber Herr Keller hat zwei {F2}.				ein.nom.npl					
5	SUB	1	5	2	Das ist {F1}; Ihre {F2} sind dort drüben.				ein.nom.npl					
5	SUB	2	6	2	Wo sind die {F1}?				npl.nom					
5	SUB	2	7	2	Hier sind unsere {F1}.				npl.nom					
5	SUB	2	8	2	Ich suche die {F1}. Wo sind sie?				npl.acc					
5	SUB	2	9	2	Wir sprechen gerade von den {F1} in Deutschland.				npl.dat					
5	SUB	2	10	2	Wie viele {F1} gibt es in Deutschland?				npl.acc			Wieviele {F1} gibt es in Deutschland?		
5	SUB	2	11	2	Wie viele {F1} gibt es in dieser Stadt?				npl.acc			Wieviele {F1} gibt es in dieser Stadt?		
5	SUB	3	12	1	Das ist der Wagen {F1}.	d- Amerikaners			der.gen					
5	SUB	3	13	1	Wissen Sie die Adresse {F1}?	d- Konsuls			der.gen					
5	SUB	3	14	1	Wo ist der Wagen {F1}?	dies- Hotels			der.gen					
5	SUB	3	15	1	Ich gebe Ihnen die Adresse {F1} in München.	ein- Diplomaten			ein.gen					
5	SUB	3	16	1	Ist das nicht der Computer {F1}?	Ihr- Bruders			ein.gen			Ist das nicht die Schreibmaschine {F1}?		
5	SUB	3	17	1	Möchten Sie die Adresse {F1} haben?	unser- Hotels			ein.gen					
5	SUB	3	18	2	Wir wohnen im Haus {F1}.				ein.gen					
5	SUB	3	19	2	Haben Sie die Pässe {F1}?				ein.gen					
5	SUB	3	20	1	Hier ist {F1}.	ein- d- Bleistifte			pop.nom.der.gen					
5	SUB	3	21	1	Ich möchte {F1} haben.	mein- Frau			pop.acc.der.gen					
5	SUB	3	22	2	{F1} {F3} die Zeitung {F2} Tante.	Sie	ihr-	leiht sich	ein.gen					
5	SUB	3	23	4	{F1} {F2} {F3} nicht an das Klima gewöhnen.	Sie	kann	sich	vcon.koennen					
6	SUB	1	1	1	Ist das {F1}?	d- neue Wagen?			der.adj.nom					
6	SUB	1	2	1	Er kennt {F1}.	d- alt- Portier			der.adj.acc					
6	SUB	1	3	1	Er geht zu {F1}.	d- alt- Bahnhof			der.adj.dat					
6	SUB	1	4	1	Hier ist {F1}.	ein- gut- Bleistift			ein.adj.nom					
6	SUB	1	5	1	Ich suche {F1}.	ein- gut- Wagen			ein.adj.acc					
6	SUB	1	6	1	Hier ist die Adresse {F1}.	ein- alt- Kollegen			ein.adj.gen					
6	SUB	1	7	2	Können Sie mir die Adresse {F1} geben?				ein.adj.gen					
6	SUB	2	8	2	Unser Auto ist nicht {F1}.				adj.pred					
6	SUB	2	9	2	Diese Auskunft ist {F1}.				adj.pred					
6	SUB	2	10	2	Die Einfuhrbestimmungen sind {F1}.				adj.pred					
6	SUB	2	11	2	Sie haben vorhin bei {F1} angerufen.				pro.dat					
6	SUB	2	12	2	{F1} Zigaretten nicht bei {F2}.	Ich habe meine	mir		pro.dat					
6	SUB	2	13	2	Das sind die {F1}.				der.adj.nom.pl					
6	SUB	2	14	2	Das sind {F1}.				ein.adj.nom.pl					
6	SUB	2	15	2	Er spricht mit {F1}.				der.adj.dat.pl					
