Id	Unit	Qtype	Qpart	Qnum	Qlet	Prompt2	R1	R2	R3	Subtag	Orig_Prompt2	Orig_R1	Orig_R2
2325	1	SUB		1	a	Flughafen	Der	ist		m			
2326	1	SUB		1	a	Bahnhof	Der	ist		m			
2327	1	SUB		1	a	Kaffee	Der	ist		m			
2328	1	SUB		1	a	Tee	Der	ist		m			
2329	1	SUB		1	a	Wein	Der	ist		m			
2330	1	SUB		1	b	Restaurant	Das	ist		n			
2331	1	SUB		1	b	Bier	Das	ist		n			
2332	1	SUB		1	b	Wasser	Das	ist		n			
2333	1	SUB		1	b	Hotel	Das	ist		n			
2334	1	SUB		1	b	Café	Das	ist		n			
2335	1	SUB		1	c	Bank	Die	ist		f			
2336	1	SUB		1	c	Milch	Die	ist		f			
2337	1	SUB		1	c	Botschaft	Die	ist		f			
2338	1	SUB		1	d	Streichhölzer	Die	sind		p			
2339	1	SUB		1	d	Zigarren	Die	sind		p			
2340	1	SUB		2	a	Bahnhof	der	ist		m			
2341	1	SUB		2	a	Flughafen	der	ist		m			
2342	1	SUB		2	a	Kaffee	der	ist		m			
2343	1	SUB		2	a	Tee	der	ist		m			
2344	1	SUB		2	a	Wein	der	ist		m			
2345	1	SUB		2	b	Restaurant	das	ist		n			
2346	1	SUB		2	b	Bier	das	ist		n			
2347	1	SUB		2	b	Wasser	das	ist		n			
2348	1	SUB		2	b	Café	das	ist		n			
2349	1	SUB		2	b	Hotel	das	ist		n			
2350	1	SUB		2	c	Bank	die	ist		f			
2351	1	SUB		2	c	Milch	die	ist		f			
2352	1	SUB		2	c	Botschaft	die	ist		f			
2353	1	SUB		2	d	Streichhölzer	die	sind		p			
2354	1	SUB		2	d	Zigarren	die	sind		p			
2355	1	SUB		3	a	Kaffee	der	kostet		m			
2356	1	SUB		3	a	Wein	der	kostet		m			
2357	1	SUB		3	a	Tee	der	kostet		m			
2358	1	SUB		3	b	Bier	das	kostet		n			
2359	1	SUB		3	c	Zigarren	die	kosten		p			
2360	1	SUB		3	c	Streichhölzer	die	kosten		p			
2361	1	SUB		4	a	Bier	das	ist		n			
2362	1	SUB		4	a	Wasser	das	ist		n			
2363	1	SUB		4	a	Hotel	das	ist		n			
2364	1	SUB		4	a	Restaurant	das	ist		n			
2365	1	SUB		4	a	Café	das	ist		n			
2366	1	SUB		4	b	Kaffee	der	ist		m			
2367	1	SUB		4	b	Tee	der	ist		m			
2368	1	SUB		4	b	Wein	der	ist		m			
2369	1	SUB		4	c	Bank	die	ist		f			
2370	1	SUB		4	c	Milch	die	ist		f			
2371	1	SUB		4	d	Zigarren	die	sind		p			
2372	1	SUB		4	d	Streichhölzer	die	sind		p			
2373	1	SUB		5	a	Hotel	Das	ist		n			
2374	1	SUB		5	a	Bier	Das	ist		n			
2375	1	SUB		5	a	Restaurant	Das	ist		n			
2376	1	SUB		5	a	Wasser	Das	ist		n			
2377	1	SUB		5	a	Café	Das	ist		n			
2378	1	SUB		5	b	Wein	Der	ist		m			
2379	1	SUB		5	b	Kaffee	Der	ist		m			
2380	1	SUB		5	b	Tee	Der	ist		m			
2381	1	SUB		5	c	Milch	Die	ist		f			
2382	1	SUB		5	c	Bank	Die	ist		f			
2383	1	SUB		5	d	Zigarren	Die	sind		p			
2384	1	SUB		5	d	Streichhölzer	Die	sind		p			
2385	1	SUB		6	a	Hotel	Das	ist		n			
2386	1	SUB		6	a	Restaurant	Das	ist		n			
2387	1	SUB		6	a	Bier	Das	ist		n			
2388	1	SUB		6	a	Wasser	Das	ist		n			
2389	1	SUB		6	a	Café	Das	ist		n			
2390	1	SUB		6	b	Flughafen	Der	ist		m			
2391	1	SUB		6	b	Bahnhof	Der	ist		m			
2392	1	SUB		6	b	Kaffee	Der	ist		m			
2393	1	SUB		6	b	Tee	Der	ist		m			
2394	1	SUB		6	b	Wein	Der	ist		m			
2395	1	SUB		6	c	Botschaft	Die	ist		f			
2396	1	SUB		6	c	Milch	Die	ist		f			
2397	1	SUB		6	c	Bank	Die	ist		f			
2398	1	SUB		6	d	Streichhölzer	Die	sind		p			
2399	1	SUB		6	d	Zigarren	Die	sind		p			
2400	1	SUB		7	a	Flughafen	der	ist		m			
2401	1	SUB		7	a	Bahnhof	der	ist		m			
2402	1	SUB		7	a	Wein	der	ist		m			
2403	1	SUB		7	a	Tee	der	ist		m			
2404	1	SUB		7	a	Kaffee	der	ist		m			
2405	1	SUB		7	b	Hotel	das	ist		n			
2406	1	SUB		7	b	Restaurant	das	ist		n			
2407	1	SUB		7	b	Bier	das	ist		n			
2408	1	SUB		7	b	Café	das	ist		n			
2409	1	SUB		7	c	Bank	die	ist		f			
2410	1	SUB		7	c	Botschaft	die	ist		f			
2411	1	SUB		7	c	Milch	die	ist		f			
2412	1	SUB		7	d	Streichhölzer	die	sind		p			
2413	1	SUB		7	d	Zigarren	die	sind		p			
2672	2	SUB		1		Er	Er	versteht					
2673	2	SUB		1		Sie (sg)	Sie	versteht					
2674	2	SUB		1		Wir	Wir	verstehen					
2675	2	SUB		1		Sie (pl)	Sie	verstehen					
2676	2	SUB		1		Frau Kunze	Frau Kunze	versteht					
2677	2	SUB		1		Frau Schneider und ich	Frau Schneider und ich	verstehen			Fräulein Schneider und ich	Fräulein Schneider und ich	
2678	2	SUB		2		er	ihn						
2679	2	SUB		2		sie (sg)	sie						
2680	2	SUB		2		ich	mich						
2681	2	SUB		2		wir	uns						
2682	2	SUB		2		sie (pl)	sie						
2683	2	SUB		2		Herr und Frau Becker	Herrn und Frau Becker						
2684	2	SUB		3		ich	mir						
2685	2	SUB		3		er	ihm						
2686	2	SUB		3		sie (sg)	ihr						
2687	2	SUB		3		wir	uns						
2688	2	SUB		3		sie (pl)	ihnen						
2689	2	SUB		3		Herr Becker	Herrn Becker						
2690	2	SUB		3		Frau Allen	Frau Allen						
2691	2	SUB		4		Sie (pl)	Sie	kommen					
2692	2	SUB		4		Herr Becker	Herr Becker	kommt					
2693	2	SUB		4		Wir	Wir	kommen					
2694	2	SUB		4		Sie (sg)	Sie	kommt					
2695	2	SUB		4		Ich	Ich	komme					
2696	2	SUB		5		Er	Er	hat					
2697	2	SUB		5		Frau Kunze	Frau Kunze	hat					
2698	2	SUB		5		Sie (pl)	Sie	haben					
2699	2	SUB		5		Wir	Wir	haben					
2700	2	SUB		5		Sie (sg)	Sie	hat					
2701	2	SUB		5		Herr und Frau Becker	Herr und Frau Becker	haben					
2702	2	SUB		6		sie (pl)	sie	Kennen					
2703	2	SUB		6		sie (sg)	sie	Kennt					
2704	2	SUB		6		er	er	Kennt					
2705	2	SUB		6		wir	wir	Kennen					
2706	2	SUB		6		ich	ich	Kenne					
2707	2	SUB		6		Herr und Frau Becker	Herr und Frau Becker	Kennen					
